state,year,deaths,cruderate,ageadjustedrate,sttax,hispanic,nhblack,nhwhite,nhother,lhs,hs,somecol,colplus
Minnesota,2016,14,1.3,1.3,342.6,0.0366057,0.0432612,0.8369384,0.0831947,0.0432612,0.2462562,0.3061564,0.4043261
Mississippi,2004,11,1.8,1.7,18,0.0143885,0.4100719,0.5539568,0.0215827,0.1726619,0.352518,0.2769784,0.1978417
Mississippi,2005,13,2.1,2,18,0.0079787,0.3670213,0.6037234,0.0212766,0.1835106,0.3164894,0.287234,0.212766
Mississippi,2006,15,2.5,2.4,18,0.0242718,0.4223301,0.5436893,0.0097087,0.1941748,0.3592233,0.2597087,0.1868932
Mississippi,2007,11,1.8,1.7,18,0.0242131,0.4067796,0.5472155,0.0217918,0.1646489,0.3414043,0.2639225,0.2300242
Mississippi,2008,14,2.3,2.3,18,0.017199,0.4029484,0.5454546,0.034398,0.1695332,0.2948403,0.3267813,0.2088452
Mississippi,2009,12,2,1.9,18,0.0363636,0.3714286,0.5714286,0.0207792,0.1688312,0.3012987,0.3272727,0.2025974
Mississippi,2010,12,2,2,68,0.0430622,0.4019139,0.5382775,0.0167464,0.1889952,0.3277512,0.2942584,0.1889952
Mississippi,2011,17,2.8,2.7,68,0.0359281,0.3982036,0.5479042,0.0179641,0.1257485,0.3443114,0.2934132,0.236527
Mississippi,2012,14,2.3,2.4,68,0.0317919,0.4248555,0.5057803,0.0375723,0.1213873,0.3092486,0.3699422,0.199422
Mississippi,2013,12,2,1.8,68,0.0259067,0.4222798,0.5284974,0.0233161,0.1295337,0.3497409,0.3212435,0.1994819
Mississippi,2016,11,1.8,1.9,68,0.054878,0.3902439,0.5243902,0.0304878,0.097561,0.3353659,0.3262195,0.2408537
Missouri,2005,15,1.3,1.3,17,0.0411141,0.1087533,0.8116711,0.0384615,0.1392573,0.3607427,0.2334218,0.2665783
Missouri,2006,13,1.1,1.1,17,0.0478142,0.1079235,0.8128415,0.0314208,0.1297814,0.3497268,0.2008197,0.3196721
Missouri,2007,10,0.8,0.8,17,0.0306122,0.1071429,0.8265306,0.0357143,0.1288265,0.3316326,0.2397959,0.2997449
Missouri,2008,16,1.4,1.4,17,0.0448549,0.0989446,0.8126649,0.0435356,0.1292876,0.3271768,0.2480211,0.2955145
Missouri,2009,15,1.3,1.2,17,0.0494506,0.0947802,0.7967033,0.0590659,0.1291209,0.3104396,0.2513736,0.3090659
Missouri,2011,14,1.2,1.1,17,0.0533516,0.0834473,0.8221614,0.0410397,0.129959,0.3228454,0.2202462,0.3269494
Missouri,2012,27,2.3,2.3,17,0.0530612,0.1102041,0.7945578,0.0421769,0.1088435,0.3292517,0.2367347,0.3251701
